video,numFrame,seconds,fps,rfps,subset,featureFrame
v_x9VlxLDK-VM,3638,121.39,30.0,29.85419,training,3624
v_L4mSCZwXelk,3711,148.66,25.0,24.86210,training,3696
v_z4_OuffZPAo,848,28.35,29.9,29.34744,training,832
v_pFh-8ICMTFY,2181,72.86,29.9,29.75570,training,2168
v_aMexiSP5Vjc,2730,91.19,29.9,29.82783,training,2720
v_saMBbZcDAjM,659,22.08,29.8,29.34783,training,648
v_bESksIhdEvo,704,23.59,29.8,29.16490,training,688
v_7j8cTyXi5a4,2511,83.92,29.9,29.74261,training,2496
v_fBov3cwPEho,3098,103.40,30.0,29.86460,training,3088
v_agIcVWDyeH0,1271,86.94,14.6,14.44674,training,1256
v_ozgrP6Znupc,2827,94.32,30.0,29.85581,training,2816
v_K-E0UXNscjU,1284,44.40,28.9,28.64865,training,1272
v_3bTGq7QDjUg,1521,63.53,23.9,23.79978,training,1512
v_IY1bVy1yZv4,2180,72.75,30.0,29.80069,training,2168
v_UYUvjnlU9Ho,6076,202.83,30.0,29.89696,training,6064
v_oN_5o1t_Lvk,6518,217.50,30.0,29.90345,training,6504
v_rV9RzL8o7tk,1194,47.93,24.9,24.70269,training,1184
v_uHLEUps_ahs,5623,234.62,24.0,23.90248,training,5608
v_1FKoT6uFsjY,5546,184.95,30.0,29.93241,training,5536
v_SiBSwSu_REQ,6599,222.01,29.7,29.65632,training,6584
v_qYpb_3oAM0k,2852,95.32,29.9,29.79438,training,2840
v_mL7Ipu-HJ5M,3708,123.74,30.0,29.86908,training,3696
v_mQCFphhDFw8,3361,140.27,24.0,23.89677,training,3352
v_iNhoeDq_EBQ,4335,144.73,30.0,29.84868,training,4320
v_t1MXansbY5s,1346,45.00,29.9,29.68889,training,1336
v_2tpwfPdSEVo,6138,204.75,30.0,29.92918,training,6128
v_asWvAGhlbdQ,5419,180.93,30.0,29.89001,training,5408
v_QESBvmN1hcM,2862,114.57,25.0,24.85817,training,2848
v_dcARAWmvWSo,6460,215.64,30.0,29.90169,training,6448
v_MnzVdvbvnMc,1302,52.18,25.0,24.68379,training,1288
v_PNdG3SUdJzc,1565,52.25,30.0,29.70335,training,1552
v_7uhJ_0oKV6s,1828,62.00,29.5,29.29032,training,1816
v_YCrSiqY-TVw,5092,203.78,25.0,24.92884,training,5080
v_s1WQ4zNikKA,2796,93.30,30.0,29.83923,training,2784
v_eDm8bUVWxAM,1519,50.81,29.9,29.60047,training,1504
v_sOyox_6AG1w,3532,117.98,29.9,29.83557,training,3520
v_ytvIoI5uwFA,2946,98.41,29.9,29.83437,training,2936
v_bzHSF5GJc8o,2178,72.73,29.9,29.80888,training,2168
v_9ZGy24Geu5k,3440,114.89,29.9,29.80242,training,3424
v_VOnP9N7FAT8,4750,190.10,25.0,24.91320,training,4736
v_JW5P5FdOrcw,6228,207.89,30.0,29.90043,training,6216
v_ZCZoL2b6euQ,683,22.85,29.9,29.40919,training,672
v_UXc2y7lR5t0,551,18.46,29.8,29.03575,training,536
v_WhhbKOSW7m0,2072,69.29,29.9,29.67239,training,2056
v_Ht2gV7oaqbo,132,5.48,24.1,21.89781,training,120
v_zyi4NVylqB0,2499,100.19,24.9,24.83282,training,2488
v_fdYyIOWkycU,734,24.57,29.9,29.30403,training,720
v_MlxMV7WH9-g,3051,101.94,29.9,29.82146,training,3040
v_IxrncvpPWV8,713,23.85,29.9,29.51782,training,704
v_KylUHdDXuCg,1559,104.40,14.9,14.78927,training,1544
v_VdeYnCIbRJ4,236,7.97,29.6,28.10540,training,224
v_0pGXfomqurw,3914,156.67,25.0,24.91862,training,3904
v_E_Z4BceegCQ,2139,89.30,24.0,23.82979,training,2128
v_p3-tF0riSpQ,2637,110.18,23.9,23.81557,training,2624
v_0RUMAGGab1k,3728,124.48,29.9,29.82005,training,3712
v_Gd6YooP1_CU,945,31.63,29.9,29.59216,training,936
v_aAlbRFeu32E,4951,165.12,30.0,29.89341,training,4936
v_4llkVfMzsN4,6002,200.37,30.0,29.90468,training,5992
v_QjKmQO_9TaA,4915,164.00,30.0,29.90244,training,4904
v_IPehEfMBLM0,5217,173.99,30.0,29.93275,training,5208
v_ZHVzukkU9sk,2791,111.76,25.0,24.83894,training,2776
v_1VAugQRO05g,3294,110.09,29.9,29.79381,training,3280
v_hsJJbTqSQR4,322,13.52,23.8,23.07692,training,312
v_3UbQ0UDmbbw,10637,425.64,25.0,24.96006,training,10624
v_2YeImloBCA8,5031,167.79,30.0,29.89451,training,5016
v_XfF30DaqAGU,772,51.67,14.9,14.70873,training,760
v_Y_QRRCIujIc,5081,169.46,30.0,29.93037,training,5072
v_MzYA5oo-mzk,209,7.06,29.6,28.32861,training,200
v_HIIUd1osd_I,5650,235.52,24.0,23.94701,training,5640
v_PZjWkB_q2lE,5627,225.16,25.0,24.94226,training,5616
v_s0YJOzALDNg,1905,64.48,29.5,29.40447,training,1896
v_ngE2y5ExVqw,1819,60.81,29.9,29.73195,training,1808
v_lvlVfgZ53NQ,2014,67.29,29.9,29.72210,training,2000
v_b3e7PrPNb30,4327,144.57,29.9,29.82638,training,4312
v_-deoJLN27hE,6821,227.74,30.0,29.89374,training,6808
v_BpiExjaNwvI,4153,138.57,30.0,29.90546,training,4144
v_p4KNKI2UZLc,5614,187.20,30.0,29.91453,training,5600
v_C1YNGahOoiA,6891,230.16,29.9,29.89225,training,6880
v_9PGFsuE3Ye0,4306,143.78,29.9,29.87898,training,4296
v_6azNzt8rXAs,6078,202.92,30.0,29.88370,training,6064
v_Tbo7I63oIms,5722,191.01,30.0,29.90419,training,5712
v_x03YF3JbWjs,5144,171.74,30.0,29.85909,training,5128
v_vvdmMyyAtN0,6650,222.10,29.9,29.89644,training,6640
v_BLLeQHgNmYc,2745,92.21,29.8,29.67140,training,2736
v_T5GVJRbvNb8,4858,162.19,30.0,29.89087,training,4848
v_vZVnMzH4pkc,2100,70.10,30.0,29.78602,training,2088
v_Pu92wJ-7UTQ,927,62.04,14.9,14.70019,training,912
v_DU2hdNIS2WI,357,23.99,14.9,14.33931,training,344
v_rosZj4ZcPBA,1115,74.51,15.0,14.81680,training,1104
v_xlCOq0ryx-Y,5369,180.79,29.7,29.64766,training,5360
v_Z7BPvGPizYE,4281,171.34,25.0,24.93288,training,4272
v_zlAwW2Pxc1A,4469,149.05,30.0,29.89601,training,4456
v_pmn8_4zKo7I,1869,74.91,24.9,24.77640,training,1856
v_4QqoWbK2ELc,2702,90.26,29.9,29.78063,training,2688
v_RfXFS9fy-mI,1235,50.02,24.7,24.47021,training,1224
v_VyQ4ZbgqMXk,2320,77.56,29.9,29.70603,training,2304
v_9dqz5ojw-ys,261,8.87,29.4,27.95941,training,248
v_VTFIAQVjHv8,5756,192.19,29.9,29.88709,training,5744
v_d0woFZ26Cx0,899,30.09,29.9,29.51147,training,888
v_cwQQj3VZLC8,2213,73.93,29.9,29.75788,training,2200
v__qzzQdKJ7F0,1014,97.11,10.4,10.29760,training,1000
v_4L0mci9CTPg,1308,43.72,29.9,29.64318,training,1296
v_M6xFXdXOzzc,6271,209.12,30.0,29.91584,training,6256
v_lTFCUuLtUJs,6471,216.04,30.0,29.88335,training,6456
v_Sma-ydx49eQ,2355,78.62,30.0,29.81430,training,2344
v_UBqFQKI1YW8,2342,78.16,30.0,29.78506,training,2328
v_S2jbh7QMrKc,5682,227.37,25.0,24.94612,training,5672
v_6NQl2Vcf0P0,445,15.33,29.0,28.18004,training,432
v_AhWkUdag6NA,4086,136.33,30.0,29.86870,training,4072
v_dla6qDuAXTw,1494,49.97,29.9,29.61777,training,1480
v_b_v5uGSheEw,859,34.51,24.9,24.57259,training,848
v_wdb4-V33wIo,3379,112.85,29.9,29.84493,training,3368
v_Ck5i8CVEkJI,3943,131.66,29.9,29.83442,training,3928
v_CneLYCPg7Es,1199,40.10,29.9,29.52618,training,1184
v_HPJuOvOmEW8,12644,211.02,59.9,59.86162,training,12632
v_6k5m4u5AchQ,3939,157.66,25.0,24.91437,training,3928
v_yWfTd8pRLgM,3311,110.48,30.0,29.83345,training,3296
v_tnk1skdLN0Q,2825,113.24,24.9,24.86754,training,2816
v_vBdm15wRqig,4403,147.03,29.9,29.87145,training,4392
v_AIZWoAbhUTY,4651,155.23,30.0,29.89113,training,4640
v_Oya9LWABkf4,3005,100.40,29.9,29.80080,training,2992
v_4Mo-IYfNKBo,1875,37.57,49.9,49.61405,training,1864
v_HDHS_7pOiDk,712,23.85,29.9,29.18239,training,696
v_R-VaPP7ToKQ,193,6.60,29.2,27.87879,training,184
v_hLnVjkmioH8,1398,98.31,14.2,14.07792,training,1384
v_zCijq4G1B3Q,4139,172.78,24.0,23.89165,training,4128
v_o00AfbAIOlA,3048,101.80,29.9,29.78389,training,3032
v_3ekMufBfUdw,3047,127.20,24.0,23.83648,training,3032
v_Pw0ANcAM-zc,3921,156.97,25.0,24.92196,training,3912
v_G-EDozcMT_4,6175,206.17,30.0,29.87826,training,6160
v_U89hsv1dzuQ,405,27.17,14.9,14.42768,training,392
v_UW1wC80VNd8,3693,123.35,29.9,29.83381,training,3680
v_9UGNhbRWM14,3496,116.63,30.0,29.83795,training,3480
v_q8TBL7DBgXY,4330,144.57,30.0,29.88172,training,4320
v_e51NGAPMp1s,3169,105.91,29.9,29.83665,training,3160
v_kI0AyrGe-NU,1120,37.43,29.9,29.49506,training,1104
v_i-G50GikqTg,3889,129.75,30.0,29.90366,training,3880
v_ZTwmb1d44bc,1213,50.69,23.9,23.67331,training,1200
v_uDs0wOnwaAM,6381,213.09,29.9,29.88409,training,6368
v_mTmcz5NWNQA,5530,184.60,30.0,29.90249,training,5520
v_aEopPs2eY-Q,6526,217.97,29.9,29.87567,training,6512
v_8iQ_ZjJGQkE,1797,60.05,29.9,29.70858,training,1784
v_KVmuW9kwZV4,371,12.47,29.8,28.86929,training,360
v_mS7SAG1nW1o,1833,61.26,29.9,29.77473,training,1824
v___dXUJsj3yo,445,29.98,14.8,14.40961,training,432
v_d7-tFV0RSCk,3474,116.03,29.9,29.85435,training,3464
v_NpfdyZntPbg,6668,222.61,30.0,29.89982,training,6656
v_0RUs80IYF38,708,29.63,23.9,23.48971,training,696
v_15vwVfNA99o,4215,175.75,24.0,23.89758,training,4200
v_rQc7UhpiDU8,3798,126.74,30.0,29.85640,training,3784
v_-nskwoky7vk,4008,160.43,25.0,24.88313,training,3992
v_rBaR5xF8orE,3838,128.18,29.9,29.83305,training,3824
v_Rewtuc-f6wU,1401,46.84,29.9,29.71819,training,1392
v_NLpWaffN3XM,6491,216.67,30.0,29.90723,training,6480
v_f_mbX87xabo,569,19.11,29.8,29.30403,training,560
v_daDd48y4x0g,462,19.39,23.8,23.10469,training,448
v_Vi2gzCrS-fE,2264,75.65,29.9,29.71580,training,2248
v_RlC3n0VSGOU,6534,217.90,30.0,29.92198,training,6520
v_nIIFlJnOXXs,3678,122.81,29.9,29.83470,training,3664
v_cqVvHj1oC-8,6732,224.77,30.0,29.89723,training,6720
v_Cu8lmHiXkUU,5355,178.77,30.0,29.89316,training,5344
v_d44RiNHK6KA,2859,95.44,30.0,29.84074,training,2848
v_brY1jVHquE0,665,67.04,9.9,9.78520,training,656
v_K-eZfCs8yOc,4376,182.46,24.0,23.89565,training,4360
v_PuylbPlzbH0,1124,45.09,24.9,24.66179,training,1112
v_W_scepAxfPA,369,12.40,29.8,29.03226,training,360
v_P0j0bBKsNAo,6128,204.38,30.0,29.90508,training,6112
v_UsqhZb0co6o,1153,38.57,29.9,29.66036,training,1144
v_P-YyUw0iuBQ,3790,126.64,29.9,29.81680,training,3776
v_KfX3APC8lp4,471,15.81,29.8,28.84250,training,456
v_ZREM_AcXHX8,6819,227.63,30.0,29.90818,training,6808
v_bjYah4IvnII,1879,62.81,29.9,29.67680,training,1864
v_NoVa1C5KBno,4548,151.84,30.0,29.87355,training,4536
v_bzndhMU3izM,5779,192.98,29.9,29.88911,training,5768
v_jwlYaPt2DIs,789,79.16,10.0,9.80293,training,776
v_r1x3hjFWGYM,5226,174.34,30.0,29.91855,training,5216
v__K3Cpdks6NQ,1454,60.74,23.9,23.70761,training,1440
v_8d7FyPzxzjg,3938,164.40,24.0,23.89294,training,3928
v_M1dEZrQWeRY,2719,90.81,29.9,29.77646,training,2704
v_Cq7Myyfbtn0,1759,117.40,15.0,14.85520,training,1744
v_HUvBb3Hmir8,7079,236.29,30.0,29.89547,training,7064
v_rIqITS6qMB0,416,27.93,14.9,14.32152,training,400
v__HQTWGmXXsc,2497,104.26,23.9,23.86342,training,2488
v_CAa74sedG9A,2414,80.55,30.0,29.79516,training,2400
v_1ZuUq5rVwPs,3789,126.48,30.0,29.85452,training,3776
v__nBOWe_VhXg,5544,185.11,29.9,29.86332,training,5528
v_lzcVvTHZlQo,1526,61.23,24.9,24.69378,training,1512
v_82s4QeuHioo,5452,182.02,30.0,29.88683,training,5440
v_sEvP3GFbLdw,4528,151.05,30.0,29.87090,training,4512
v_r8MwPAJWPDk,3960,132.45,29.9,29.77727,training,3944
v_fqOp0uhdEyM,2251,90.19,25.0,24.83646,training,2240
v_L9gznB55hhE,14298,238.61,59.9,59.88014,training,14288
v_fSVDG4h0lzM,806,32.35,24.9,24.48223,training,792
v_1Ao43T5yRjI,4550,182.09,25.0,24.91076,training,4536
v_89S-sQUWIcg,1978,66.08,29.9,29.78208,training,1968
v_F53s94562zc,305,10.50,29.0,28.19048,training,296
v_NAl-SP-92dI,6885,229.60,30.0,29.93031,training,6872
v_BLSycXOF3Ro,11038,184.23,59.9,59.83825,training,11024
v_wsrSku74OpM,2034,169.81,12.0,11.91920,training,2024
v_bBXbFpJMveI,10528,175.73,59.9,59.81904,training,10512
v_7univ6G4RXA,2502,83.62,29.9,29.75365,training,2488
v_3_hJrb_aDWU,1076,43.19,24.9,24.63533,training,1064
v_So4BX0I1VRI,2115,70.66,29.9,29.77639,training,2104
v_mAfp5ABlKyM,1060,42.89,24.7,24.43460,training,1048
v_Scjxbdh6b54,1418,47.44,29.9,29.67960,training,1408
v_otWcr0Rxy5g,5063,202.62,25.0,24.91363,training,5048
v_k8C1Jb_xvh0,6480,129.68,50.0,49.84577,training,6464
v_a42c_maArv4,214,10.89,19.7,18.36547,training,200
v_XKuD0F-p6YA,3987,133.17,29.9,29.85657,training,3976
v_b0bM4vKxoXQ,3113,129.85,24.0,23.90451,training,3104
v_KYN1NR7l2zQ,2638,110.13,24.0,23.82639,training,2624
v_9-U2WOLIqB8,2607,87.08,29.9,29.76573,training,2592
v_9J72KkOrAq4,209,7.06,29.6,28.32861,training,200
v__rzxmgPv6Co,4810,192.54,25.0,24.92988,training,4800
v_5iIlhXLDsf8,1832,122.44,15.0,14.83175,training,1816
v_E-XerA_sOjw,1632,54.57,29.9,29.61334,training,1616
v_I41kmlYZmt4,4200,168.23,25.0,24.87071,training,4184
v_QV2QXt6eDdI,921,30.79,29.9,29.62001,training,912
v_TvlCdfubl9Y,625,25.10,24.9,24.54183,training,616
v_WjX-xi2Ocbo,675,23.36,28.9,28.42466,training,664
v_OmlzSz6AKfI,2030,67.80,29.9,29.73451,training,2016
v_GejFc4J2mfc,5440,181.63,30.0,29.86291,training,5424
v_IkXuooaGnCc,5652,188.69,30.0,29.89030,training,5640
v_IQvSj-3BGPo,6112,204.03,30.0,29.87796,training,6096
v_Qtj7QFDjH1A,1778,59.44,29.9,29.74428,training,1768
v_p31a9wkiSHA,4947,206.22,24.0,23.93560,training,4936
v_u35hesPTsNE,3293,131.82,25.0,24.88242,training,3280
v_Zl6o69-R2DE,1225,81.78,15.0,14.86916,training,1216
v_ITyNMYw_pxc,1965,65.62,29.9,29.74703,training,1952
v_eEBiomp_9tQ,718,30.05,23.9,23.42762,training,704
v_gzuLIo5ZR9A,1511,50.46,29.9,29.64725,training,1496
v_1BWF1U1dJ_w,2537,105.91,24.0,23.86932,training,2528
v_YZhNtSJMzq8,1475,49.34,29.9,29.67167,training,1464
v_SlogVhfmTVs,4235,169.53,25.0,24.91594,training,4224
v_XThYcZoFMMs,5224,217.99,24.0,23.89100,training,5208
v_pajUG7Y6Gtk,1826,61.09,29.9,29.72663,training,1816
v_HCraAphAW1A,852,28.56,29.8,29.41176,training,840
v_xbWSMxwcP_8,191,12.12,15.8,14.52145,training,176
v_vWULU8NttX8,5831,116.70,50.0,49.83719,training,5816
v_0_9_HIvxNMw,5943,198.41,30.0,29.87753,training,5928
v_oZnbAhzN3jg,4311,172.66,25.0,24.88127,training,4296
v_pYYA4rARL1Y,5768,192.38,30.0,29.89916,training,5752
v_zcdJNPYkIE0,1979,66.08,29.9,29.78208,training,1968
v_jqRJM8b4pgE,2354,78.65,29.9,29.80292,training,2344
v_uCLUexLKpnU,370,14.98,24.7,24.03204,training,360
v_xs4MvE_uAtU,5399,216.11,25.0,24.91324,training,5384
v_O8vPTn6Ho7w,4366,182.23,24.0,23.88191,training,4352
v_ymEh5T11kSQ,526,35.25,14.9,14.52482,training,512
v_20i6YGSnt-c,1363,54.61,25.0,24.75737,training,1352
v_-2DajzzRwn0,5732,191.15,30.0,29.92414,training,5720
v_H0gSWEElh6A,3638,145.75,25.0,24.86449,training,3624
v_aEG-_-m49mY,6608,220.64,29.9,29.87672,training,6592
v_R2qPyJVTUlI,2752,91.93,29.9,29.76178,training,2736
v_huFuRGoZt9I,231,23.36,9.9,9.24658,training,216
v_hKE7vI--XGU,2583,103.42,25.0,24.83079,training,2568
v_fFWHlFZEm3M,4233,169.46,25.0,24.92624,training,4224
v_vWNDj8KxmBg,2197,88.03,25.0,24.80972,training,2184
v_CRKA3xPEKm8,1270,50.95,24.9,24.65162,training,1256
v_93jSVyXW5gc,2672,111.55,24.0,23.80995,training,2656
v_WjEh7acrr5o,123,12.45,9.9,8.99598,training,112
v_CpTIytatsno,2427,97.22,25.0,24.85085,training,2416
v_vREBYOCUCj0,3342,111.53,30.0,29.83951,training,3328
v_4wiLmu1yTZI,3021,125.97,24.0,23.87870,training,3008
v_1izVZnE0l7k,6247,208.33,30.0,29.91408,training,6232
v_8OA30kYcAUQ,5043,168.37,30.0,29.88656,training,5032
v_qbUQVhjQJ48,501,16.91,29.6,28.85866,training,488
v_QNsonWAaFk4,5583,186.41,30.0,29.86964,training,5568
v_lMbDEY-CVwE,4404,176.26,25.0,24.91774,training,4392
v_FXb8rBMvol4,3352,139.95,24.0,23.83708,training,3336
v_hhHiBeL08-M,1189,39.73,29.9,29.59980,training,1176
v_1WSFrupQzQI,1869,62.46,29.9,29.71502,training,1856
v_uMQEaWGQvrc,507,17.09,29.7,29.02282,training,496
v_jsfPXYQuikQ,615,41.12,15.0,14.59144,training,600
v_YoJxVl_hUWg,1687,56.38,29.9,29.65591,training,1672
v_kkjBLmM6KEg,3763,125.64,30.0,29.86310,training,3752
v_llcbN-s26vs,916,30.65,29.9,29.49429,training,904
v_XnUi1SG9jxA,2069,69.17,29.9,29.72387,training,2056
v_sNnNDCx6RRA,5336,178.01,30.0,29.88596,training,5320
v_ral5Oaib_vk,5174,207.15,25.0,24.90949,training,5160
v_P-ENnGQ_FuU,2220,74.17,29.9,29.76945,training,2208
v_C3K-OgdK8FY,5774,192.75,30.0,29.88327,training,5760
v_p74gAY-kWaY,1780,59.63,29.9,29.64951,training,1768
v_PVAV7PdHhgE,4307,143.82,29.9,29.87067,training,4296
v_v5peBgLKWL8,4789,191.70,25.0,24.91393,training,4776
v_J4FBxa5FWSo,384,12.98,29.6,28.35131,training,368
v_2PAVJbmj2lQ,1731,57.82,29.9,29.74749,training,1720
v_abjQ1EyqJuw,1127,37.78,29.8,29.43356,training,1112
v_-bzI8_hCbWk,6573,219.41,30.0,29.89836,training,6560
v_G3TPqsLNlrw,3332,138.93,24.0,23.89693,training,3320
v_3osNjmYjTGg,847,28.38,29.8,29.31642,training,832
v_y-OZ45FQZ0g,1824,60.98,29.9,29.64907,training,1808
v_rMdojBVP-aM,876,29.35,29.8,29.43782,training,864
v_kZXVFSjRt5g,3542,141.78,25.0,24.88362,training,3528
v_TcxOTZ4xnQ4,1186,39.61,29.9,29.68947,training,1176
v_qF3EbR8y8go,6114,204.10,30.0,29.90691,training,6104
v_StvwTXdXG2U,4581,183.35,25.0,24.91410,training,4568
v_boQbuyDjWnc,6213,207.26,30.0,29.91412,training,6200
v_V9ktV85lA9E,2662,88.96,29.9,29.76619,training,2648
v_CCMtNNSzHw8,1835,122.53,15.0,14.88615,training,1824
v_CIJp-SG3sWE,853,28.58,29.8,29.39118,training,840
v_Tz3OXEWBSVA,3069,122.90,25.0,24.86574,training,3056
v_Ib3XqmBqy10,5042,201.88,25.0,24.92570,training,5032
v_WUYSGCwm6OM,3905,156.29,25.0,24.92802,training,3896
v_H_Spgfds1iY,3565,119.05,29.9,29.83620,training,3552
v_VlfnvORj6KY,4346,145.10,30.0,29.88284,training,4336
v_ogQozSI5V8U,1094,36.55,29.9,29.54856,training,1080
v_FiJi18WpPe8,897,30.00,29.9,29.60000,training,888
v_56sQMnSUWaI,2867,95.59,30.0,29.87760,training,2856
v_NRdxsuSCJyM,1859,62.11,29.9,29.75366,training,1848
v_bY0vSkxH0PE,603,20.20,29.9,29.30693,training,592
v_zBg0FEtpC-o,6690,223.08,30.0,29.94441,training,6680
v_THOVGzbo8w8,3663,122.32,29.9,29.82341,training,3648
v_HCub1SN4X20,6960,232.11,30.0,29.91685,training,6944
v_NPt1niJMbvE,502,16.86,29.8,28.94425,training,488
v_HCZpS7mhvrE,5502,220.22,25.0,24.92053,training,5488
v_K1EW6wZDnOs,1401,56.19,24.9,24.77309,training,1392
v_3YiGMRp-7B4,716,23.96,29.9,29.38230,training,704
v_phDLuo6dYrk,6175,206.08,30.0,29.89130,training,6160
v_BHQasKzBDQU,2838,94.72,30.0,29.81419,training,2824
v_ZA_XYgP4fMA,2109,70.47,29.9,29.74315,training,2096
v_89rUyq2rCJ8,991,41.45,23.9,23.54644,training,976
v_iC1C5wfb0iU,623,25.10,24.8,24.22311,training,608
v_0lzqfDIWXtw,2524,84.31,29.9,29.79480,training,2512
v_K757XUwinrc,852,28.56,29.8,29.41176,training,840
v_vrMWYB0UuGM,493,33.07,14.9,14.51467,training,480
v_W3a7BIqWov4,1019,34.06,29.9,29.59483,training,1008
v_fJ7gcHxxJMM,155,5.30,29.2,27.16981,training,144
v_fgP3D3Gqn6U,3160,105.54,29.9,29.78965,training,3144
v_ll4HKY9ZBOA,3760,125.46,30.0,29.84218,training,3744
v_LIaNG_UliKk,6190,206.73,29.9,29.87472,training,6176
v_GHcNgllmcpM,5048,168.44,30.0,29.87414,training,5032
v_oOURAJ7nraU,2787,93.11,29.9,29.81420,training,2776
v_r34VM4v0ShI,4085,136.40,29.9,29.85337,training,4072
v_pieT6K771WQ,1950,65.13,29.9,29.72517,training,1936
v_VkRjs03YEjE,5860,234.50,25.0,24.93817,training,5848
v_Cdiv-IzHcjQ,4549,151.91,29.9,29.85979,training,4536
v_-ew9R4QppTk,5523,184.51,29.9,29.87372,training,5512
v_Gr5jGxLEp70,2308,96.36,24.0,23.82731,training,2296
v_r-GVVgxtoMk,1039,34.76,29.9,29.45915,training,1024
v_mlUg8iMtew0,5085,203.62,25.0,24.90914,training,5072
v_rP2MviNn52g,1457,49.06,29.7,29.51488,training,1448
v_yuYqFaAnTxI,1588,106.00,15.0,14.86792,training,1576
v_fxEcsM0EaA4,605,20.30,29.8,29.16256,training,592
v_Qs0hIRhHPVM,1516,60.77,24.9,24.74905,training,1504
v_Flh-37A4HWY,537,18.04,29.8,29.26829,training,528
v_5sdUW55eS4M,2859,95.48,29.9,29.82824,training,2848
v_ZmUk9OQ1zfk,3719,124.23,29.9,29.81566,training,3704
v_ig8RaXkocJ0,6473,215.90,30.0,29.93979,training,6464
v_WtBr459dWY4,2906,96.97,30.0,29.86491,training,2896
v_AGDsfpZQBIs,616,20.69,29.8,28.99952,training,600
v_V2PhVadSbpQ,1816,72.75,25.0,24.74227,training,1800
v_coK0QVLhuj0,2219,92.65,24.0,23.83162,training,2208
v_mn1ozn0j7D8,3935,131.43,29.9,29.82576,training,3920
v_zc7_D9RiOY0,1990,66.53,29.9,29.70089,training,1976
v_6Dt510HMEWA,929,31.09,29.9,29.59151,training,920
v_-sXrwv7C5CI,1620,54.15,29.9,29.69529,training,1608
v_Zi2Pah5-BXI,3749,156.34,24.0,23.89664,training,3736
v_Irmh66trRY4,7143,238.47,30.0,29.89055,training,7128
v_ZqkJAD0CGBU,2137,71.42,29.9,29.79558,training,2128
v_Y-SehqCvzME,7095,238.47,29.8,29.68927,training,7080
v_Yr2unlRQZa0,3552,118.61,29.9,29.81199,training,3536
v_-cApkmTI3F8,185,19.04,9.7,9.24370,training,176
v_c1eUdyyT4zg,804,32.25,24.9,24.55814,training,792
v_V-kMGMX-l2g,2248,90.02,25.0,24.79449,training,2232
v_kHTcsP6nQdY,1561,52.13,29.9,29.77172,training,1552
v_Wdp8yduPUX4,3880,161.96,24.0,23.85774,training,3864
v_j-qAgWm_Ylw,4644,185.90,25.0,24.91662,training,4632
v_jrXoqceGS-k,4863,202.97,24.0,23.88530,training,4848
v_fBbjlXgtd50,871,29.12,29.9,29.39560,training,856
v_I5RVQUYA1w4,1008,33.72,29.9,29.41874,training,992
v_eQc-8npRq18,119,4.09,29.1,25.42787,training,104
v_J959vSGFedM,818,28.26,28.9,28.59165,training,808
v__8-4M5XVuwI,765,25.64,29.8,29.32917,training,752
v_lkCpF06uEmE,1393,46.56,29.9,29.72509,training,1384
v_yN3e-giBxns,1038,35.20,29.5,29.09091,training,1024
v_wBij_rEXdCk,5499,183.58,30.0,29.89432,training,5488
v_y76trNI6U0Y,5132,171.36,29.9,29.87862,training,5120
v_fOGXvBAmTsY,5990,199.92,30.0,29.89196,training,5976
v_5qh_gx81Bd8,4312,179.77,24.0,23.89720,training,4296
v_XbN3TvLEm2A,599,20.09,29.8,29.06919,training,584
v_uatIP3FGQXk,1946,65.09,29.9,29.74343,training,1936
v_4rvACiBclFI,6817,227.93,29.9,29.86882,training,6808
v_DZVJtWJrWTU,5653,209.61,27.0,26.90711,training,5640
v_o8n1YnT8ZZ8,5093,203.85,25.0,24.92028,training,5080
v_lsgB3WU-1r0,4903,204.59,24.0,23.89169,training,4888
v_nnWON1EzK0o,599,20.16,29.7,28.96825,training,584
v_p4pj27t5B6g,4617,154.16,29.9,29.89102,training,4608
v_lDriXPZt_Yg,2495,83.38,29.9,29.74334,training,2480
v_LvkqCFRC5Vk,3499,117.05,29.9,29.79923,training,3488
v_Oh83skxSJkQ,2290,152.79,15.0,14.92244,training,2280
v_1cccnJAK7TI,1979,66.08,29.9,29.78208,training,1968
v_Y9wrTRY3mUI,6851,228.72,30.0,29.90556,training,6840
v_6pY2zz2_CCU,1907,76.42,25.0,24.81026,training,1896
v_D7ZeRbotot0,509,17.07,29.8,29.05682,training,496
v_bX8QXK9mjKA,1918,64.09,29.9,29.70822,training,1904
v_9bFevj6bomQ,1742,58.21,29.9,29.68562,training,1728
v_7UrJuhFvlQ4,2723,90.95,29.9,29.81858,training,2712
v_iKH8FgONbVw,765,25.59,29.9,29.38648,training,752
v_VnBZR-yBLXA,3521,117.59,29.9,29.86649,training,3512
v_Ocd1VWIIeVs,1937,64.67,30.0,29.81290,training,1928
v_mc5XVTo5PVk,479,16.09,29.8,28.83779,training,464
v_Fi0PQwhsGs4,1346,45.07,29.9,29.64278,training,1336
v_Mh-qSztuLtE,695,23.34,29.8,29.13453,training,680
v__uPVFvEQocU,2750,114.80,24.0,23.83275,training,2736
v_4o7Abew2ExY,3225,107.69,29.9,29.86350,training,3216
v_YO8EY7miuk8,1448,58.03,25.0,24.67689,training,1432
v_l3k_7ydV74A,266,8.96,29.7,28.57143,training,256
v_P62B_iDlQXM,761,30.67,24.8,24.51907,training,752
